[{No.,1
Ticker,ADMA
Company,Adma Biologics Inc
Sector,Healthcare
Industry,Biotechnology
Country,USA
Market Cap,3910.30
P/E,19.30
Price,16.43
Change,3.01%
Volume,129}
{No.,143
Ticker,ADME
Company,Aptus Drawdown Managed Equity ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,51.66
Change,0.00%
Volume,0}
{No.,144
Ticker,ADNT
Company,Adient plc
Sector,Consumer Cyclical
Industry,Auto Parts
Country,USA
Market Cap,2030.60
P/E,
Price,25.92
Change,0.00%
Volume,0}
{No.,145
Ticker,ADP
Company,Automatic Data Processing Inc
Sector,Technology
Industry,Software - Application
Country,USA
Market Cap,85960.55
P/E,20.51
Price,213.49
Change,0.19%
Volume,166}
{No.,146
Ticker,ADPT
Company,Adaptive Biotechnologies Corp
Sector,Healthcare
Industry,Biotechnology
Country,USA
Market Cap,2410.58
P/E,
Price,15.79
Change,0.00%
Volume,0}
{No.,147
Ticker,ADPV
Company,Adaptiv Select ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,44.69
Change,0.00%
Volume,0}
{No.,148
Ticker,ADSE
Company,Ads-Tec Energy Plc
Sector,Industrials
Industry,Electrical Equipment & Parts
Country,Ireland
Market Cap,632.49
P/E,
Price,10.52
Change,0.00%
Volume,0}
{No.,149
Ticker,ADSK
Company,Autodesk Inc
Sector,Technology
Industry,Software - Application
Country,USA
Market Cap,48760.00
P/E,44.65
Price,230.00
Change,2.08%
Volume,43}
{No.,150
Ticker,ADT
Company,ADT Inc
Sector,Industrials
Industry,Security & Protection Services
Country,USA
Market Cap,6353.16
P/E,11.07
Price,7.75
Change,0.00%
Volume,0}
{No.,151
Ticker,ADTN
Company,ADTRAN Holdings Inc
Sector,Technology
Industry,Communication Equipment
Country,USA
Market Cap,815.58
P/E,
Price,10.18
Change,0.30%
Volume,4278}
{No.,152
Ticker,ADTX
Company,Aditxt Inc
Sector,Healthcare
Industry,Biotechnology
Country,USA
Market Cap,0.34
P/E,
Price,0.61
Change,0.00%
Volume,0}
{No.,153
Ticker,ADUR
Company,Aduro Clean Technologies Inc
Sector,Industrials
Industry,Pollution & Treatment Controls
Country,Canada
Market Cap,361.42
P/E,
Price,10.86
Change,0.00%
Volume,0}
{No.,154
Ticker,ADUS
Company,Addus HomeCare Corporation
Sector,Healthcare
Industry,Medical Care Facilities
Country,USA
Market Cap,2093.42
P/E,24.24
Price,113.26
Change,0.00%
Volume,0}
{No.,155
Ticker,ADV
Company,Advantage Solutions Inc
Sector,Communication Services
Industry,Advertising Agencies
Country,USA
Market Cap,193.23
P/E,
Price,0.59
Change,0.00%
Volume,0}
{No.,156
Ticker,ADVB
Company,Advanced Biomed Inc
Sector,Healthcare
Industry,Diagnostics & Research
Country,Taiwan
Market Cap,5.16
P/E,36.15
Price,0.24
Change,0.00%
Volume,0}
{No.,157
Ticker,ADVE
Company,Matthews Asia Dividend Active ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,44.33
Change,0.00%
Volume,0}
{No.,158
Ticker,ADX
Company,Adams Diversified Equity Fund
Sector,Financial
Industry,Closed-End Fund - Equity
Country,USA
Market Cap,2794.11
P/E,7.63
Price,23.26
Change,0.00%
Volume,0}
{No.,159
Ticker,ADXN
Company,Addex Therapeutics Ltd ADR
Sector,Healthcare
Industry,Biotechnology
Country,Switzerland
Market Cap,9.22
P/E,
Price,7.32
Change,0.00%
Volume,0}
{No.,160
Ticker,AEAQ
Company,Activate Energy Acquisition Corp
Sector,Financial
Industry,Shell Companies
Country,Cayman Islands
Market Cap,304.25
P/E,
Price,9.92
Change,0.00%
Volume,0}
{No.,161
Ticker,AEBI
Company,Aebi Schmidt Holding AG
Sector,Industrials
Industry,Farm & Heavy Construction Machinery
Country,Switzerland
Market Cap,1191.84
P/E,
Price,15.41
Change,0.00%
Volume,0}
{No.,162
Ticker,AEC
Company,Anfield Energy Inc
Sector,Energy
Industry,Uranium
Country,Canada
Market Cap,104.81
P/E,
Price,6.60
Change,0.00%
Volume,0}
{No.,163
Ticker,AEE
Company,Ameren Corp
Sector,Utilities
Industry,Utilities - Regulated Electric
Country,USA
Market Cap,29900.51
P/E,20.67
Price,110.54
Change,0.00%
Volume,0}
{No.,164
Ticker,AEF
Company,abrdn Emerging Markets ex-China Fund Inc
Sector,Financial
Industry,Closed-End Fund - Equity
Country,USA
Market Cap,338.62
P/E,8.60
Price,8.34
Change,0.00%
Volume,0}
{No.,165
Ticker,AEG
Company,Aegon Ltd
Sector,Financial
Industry,Insurance - Diversified
Country,Netherlands
Market Cap,11559.91
P/E,8.58
Price,7.78
Change,0.39%
Volume,1738}
{No.,166
Ticker,AEHL
Company,Antelope Enterprise Holdings Ltd
Sector,Industrials
Industry,Building Products & Equipment
Country,China
Market Cap,4.82
P/E,
Price,0.52
Change,0.58%
Volume,374}
{No.,167
Ticker,AEHR
Company,Aehr Test Systems
Sector,Technology
Industry,Semiconductor Equipment & Materials
Country,USA
Market Cap,872.57
P/E,
Price,28.49
Change,0.00%
Volume,0}
{No.,168
Ticker,AEI
Company,Alset Inc
Sector,Real Estate
Industry,Real Estate - Development
Country,USA
Market Cap,95.32
P/E,
Price,2.45
Change,0.00%
Volume,0}
{No.,169
Ticker,AEIS
Company,Advanced Energy Industries Inc
Sector,Industrials
Industry,Electrical Equipment & Parts
Country,USA
Market Cap,11858.34
P/E,82.32
Price,314.12
Change,0.00%
Volume,0}
{No.,170
Ticker,AEM
Company,Agnico Eagle Mines Ltd
Sector,Basic Materials
Industry,Gold
Country,Canada
Market Cap,107438.70
P/E,24.11
Price,214.00
Change,0.49%
Volume,149}
{No.,171
Ticker,AEMD
Company,Aethlon Medical Inc
Sector,Healthcare
Industry,Medical Devices
Country,USA
Market Cap,2.79
P/E,
Price,2.12
Change,0.00%
Volume,0}
{No.,172
Ticker,AEMS
Company,Anfield Enhanced Market ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,10.61
Change,0.00%
Volume,0}
{No.,173
Ticker,AENT
Company,Alliance Entertainment Holding Corporation
Sector,Communication Services
Industry,Entertainment
Country,USA
Market Cap,245.61
P/E,11.23
Price,4.82
Change,0.00%
Volume,0}
{No.,174
Ticker,AEO
Company,American Eagle Outfitters Inc
Sector,Consumer Cyclical
Industry,Apparel Retail
Country,USA
Market Cap,4225.93
P/E,21.52
Price,24.93
Change,0.00%
Volume,0}
{No.,175
Ticker,AEON
Company,AEON Biopharma Inc
Sector,Healthcare
Industry,Biotechnology
Country,USA
Market Cap,24.54
P/E,0.19
Price,0.97
Change,0.00%
Volume,0}
{No.,176
Ticker,AEP
Company,American Electric Power Company Inc
Sector,Utilities
Industry,Utilities - Regulated Electric
Country,USA
Market Cap,70555.39
P/E,19.59
Price,130.45
Change,0.16%
Volume,323}
{No.,177
Ticker,AER
Company,Aercap Holdings N.V
Sector,Industrials
Industry,Rental & Leasing Services
Country,Ireland
Market Cap,25458.68
P/E,7.15
Price,152.56
Change,0.00%
Volume,0}
{No.,178
Ticker,AERO
Company,Grupo Aeromexico S.A.B. De C.V. ADR
Sector,Industrials
Industry,Airlines
Country,Mexico
Market Cap,2862.56
P/E,10.93
Price,19.62
Change,0.00%
Volume,0}
{No.,179
Ticker,AERT
Company,Aeries Technology Inc
Sector,Industrials
Industry,Consulting Services
Country,Singapore
Market Cap,22.44
P/E,
Price,0.45
Change,0.00%
Volume,0}
{No.,180
Ticker,AES
Company,AES Corp
Sector,Utilities
Industry,Utilities - Diversified
Country,USA
Market Cap,11735.75
P/E,10.04
Price,16.48
Change,0.55%
Volume,613}
{No.,181
Ticker,AESI
Company,Atlas Energy Solutions Inc
Sector,Energy
Industry,Oil & Gas Equipment & Services
Country,USA
Market Cap,1462.99
P/E,
Price,11.80
Change,0.00%
Volume,0}
{No.,182
Ticker,AESPU
Company,Aeon Acquisition I Corp
Sector,Financial
Industry,Shell Companies
Country,USA
Market Cap,
P/E,
Price,
Change,
Volume,0}
{No.,183
Ticker,AESR
Company,Anfield U.S. Equity Sector Rotation ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,17.53
Change,0.00%
Volume,0}
{No.,184
Ticker,AETH
Company,Bitwise Trendwise Ether and Treasuries Rotation Strategy ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,35.02
Change,0.00%
Volume,0}
{No.,185
Ticker,AEVA
Company,Aeva Technologies Inc
Sector,Technology
Industry,Software - Infrastructure
Country,USA
Market Cap,787.05
P/E,
Price,13.10
Change,1.55%
Volume,7377}
{No.,186
Ticker,AEXA
Company,American Exceptionalism Acquisition Corp. A
Sector,Financial
Industry,Shell Companies
Country,USA
Market Cap,556.43
P/E,
Price,11.25
Change,0.00%
Volume,0}
{No.,187
Ticker,AEYE
Company,AudioEye Inc
Sector,Technology
Industry,Software - Application
Country,USA
Market Cap,82.71
P/E,
Price,6.66
Change,0.00%
Volume,0}
{No.,188
Ticker,AFB
Company,AllianceBernstein National Municipal Income Fund Inc
Sector,Financial
Industry,Closed-End Fund - Debt
Country,USA
Market Cap,318.21
P/E,92.25
Price,11.07
Change,0.00%
Volume,0}
{No.,189
Ticker,AFBI
Company,Affinity Bancshares Inc
Sector,Financial
Industry,Banks - Regional
Country,USA
Market Cap,127.79
P/E,15.97
Price,20.72
Change,0.00%
Volume,0}
{No.,190
Ticker,AFCG
Company,Advanced Flower Capital Inc
Sector,Real Estate
Industry,REIT - Mortgage
Country,USA
Market Cap,51.29
P/E,
Price,2.27
Change,0.00%
Volume,0}
{No.,191
Ticker,AFG
Company,American Financial Group Inc
Sector,Financial
Industry,Insurance - Property & Casualty
Country,USA
Market Cap,10934.21
P/E,13.00
Price,131.10
Change,0.00%
Volume,0}
{No.,192
Ticker,AFIF
Company,Anfield Universal Fixed Income ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,9.46
Change,0.00%
Volume,0}
{No.,193
Ticker,AFIX
Company,Allspring Broad Market Core Bond ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,25.42
Change,0.00%
Volume,0}
{No.,194
Ticker,AFJK
Company,Aimei Health Technology Co Ltd
Sector,Financial
Industry,Shell Companies
Country,USA
Market Cap,277.68
P/E,225.11
Price,45.36
Change,0.00%
Volume,0}
{No.,195
Ticker,AFK
Company,MVIS GDP Africa Index
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,29.18
Change,0.00%
Volume,0}
{No.,196
Ticker,AFL
Company,Aflac Inc
Sector,Financial
Industry,Insurance - Life
Country,USA
Market Cap,60650.46
P/E,16.80
Price,115.72
Change,0.26%
Volume,174}
{No.,197
Ticker,AFLG
Company,First Trust Active Factor Large Cap ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,40.37
Change,0.00%
Volume,0}
{No.,198
Ticker,AFMC
Company,First Trust Active Factor Mid Cap ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,37.38
Change,0.00%
Volume,0}
{No.,199
Ticker,AFOS
Company,ARS Focused Opportunity Strategy ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,38.38
Change,0.00%
Volume,0}
{No.,200
Ticker,AFRI
Company,Forafric Global PLC
Sector,Consumer Defensive
Industry,Farm Products
Country,United Kingdom
Market Cap,264.17
P/E,
Price,9.82
Change,0.00%
Volume,0}
{No.,201
Ticker,AFRM
Company,Affirm Holdings Inc
Sector,Financial
Industry,Credit Services
Country,USA
Market Cap,17388.38
P/E,64.21
Price,52.20
Change,1.16%
Volume,3637}
{No.,202
Ticker,AFRU
Company,T-REX 2X Long AFRM Daily Target ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,6.48
Change,0.00%
Volume,0}
{No.,203
Ticker,AFSC
Company,abrdn Focused U.S. Small Cap Active ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,33.01
Change,0.00%
Volume,0}
{No.,204
Ticker,AFSM
Company,First Trust Active Factor Small Cap ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,34.73
Change,0.00%
Volume,0}
{No.,205
Ticker,AFYA
Company,Afya Ltd
Sector,Consumer Defensive
Industry,Education & Training Services
Country,Brazil
Market Cap,1262.51
P/E,10.16
Price,13.92
Change,0.00%
Volume,0}
{No.,206
Ticker,AG
Company,First Majestic Silver Corporation
Sector,Basic Materials
Industry,Silver
Country,Canada
Market Cap,10831.62
P/E,179.85
Price,22.05
Change,2.32%
Volume,56183}
{No.,207
Ticker,AGAE
Company,Allied Gaming & Entertainment Inc
Sector,Communication Services
Industry,Entertainment
Country,USA
Market Cap,11.95
P/E,
Price,0.32
Change,6.56%
Volume,4852}
{No.,208
Ticker,AGBK
Company,AGI Inc
Sector,Financial
Industry,Banks - Regional
Country,Brazil
Market Cap,1789.62
P/E,
Price,11.19
Change,0.09%
Volume,5}
{No.,209
Ticker,AGCC
Company,Agencia Comercial Spirits Ltd
Sector,Consumer Defensive
Industry,Beverages - Wineries & Distilleries
Country,Taiwan
Market Cap,347.20
P/E,463.30
Price,10.10
Change,0.00%
Volume,0}
{No.,210
Ticker,AGCO
Company,AGCO Corp
Sector,Industrials
Industry,Farm & Heavy Construction Machinery
Country,USA
Market Cap,10027.48
P/E,14.21
Price,138.50
Change,0.00%
Volume,0}
{No.,211
Ticker,AGD
Company,abrdn Global Dynamic Dividend Fund
Sector,Financial
Industry,Closed-End Fund - Foreign
Country,USA
Market Cap,315.45
P/E,
Price,12.68
Change,0.00%
Volume,0}
{No.,212
Ticker,AGEM
Company,abrdn Emerging Markets Dividend Active ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,43.63
Change,0.00%
Volume,0}
{No.,213
Ticker,AGEN
Company,Agenus Inc
Sector,Healthcare
Industry,Biotechnology
Country,USA
Market Cap,103.73
P/E,
Price,3.05
Change,0.00%
Volume,0}
{No.,214
Ticker,AGG
Company,iShares Core U.S. Aggregate Bond ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,101.00
Change,0.00%
Volume,59}
{No.,215
Ticker,AGGA
Company,EA Astoria Dynamic Core US Fixed Income ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,25.40
Change,0.00%
Volume,0}
{No.,216
Ticker,AGGH
Company,Simplify Aggregate Bond ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,20.91
Change,0.00%
Volume,0}
{No.,217
Ticker,AGGS
Company,Harbor Disciplined Bond ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,41.67
Change,0.00%
Volume,0}
{No.,218
Ticker,AGGY
Company,WisdomTree Yield Enhanced U.S. Aggregate Bond Fund
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,44.57
Change,0.00%
Volume,0}
{No.,219
Ticker,AGH
Company,Aureus Greenway Holdings Inc
Sector,Consumer Cyclical
Industry,Leisure
Country,USA
Market Cap,63.99
P/E,
Price,4.25
Change,0.00%
Volume,0}
{No.,220
Ticker,AGI
Company,Alamos Gold Inc
Sector,Basic Materials
Industry,Gold
Country,Canada
Market Cap,18413.74
P/E,34.40
Price,43.86
Change,1.27%
Volume,3460}
{No.,221
Ticker,AGIG
Company,Abundia Global Impact Group Inc
Sector,Utilities
Industry,Utilities - Renewable
Country,USA
Market Cap,99.40
P/E,
Price,2.87
Change,0.00%
Volume,0}
{No.,222
Ticker,AGIO
Company,Agios Pharmaceuticals Inc
Sector,Healthcare
Industry,Biotechnology
Country,USA
Market Cap,1627.10
P/E,
Price,27.77
Change,-0.18%
Volume,210}
{No.,223
Ticker,AGIQ
Company,SoFi Agentic AI ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,21.56
Change,0.00%
Volume,0}
{No.,224
Ticker,AGIX
Company,KraneShares Artificial Intelligence & Technology ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,34.99
Change,2.46%
Volume,505}
{No.,225
Ticker,AGL
Company,Agilon Health Inc
Sector,Healthcare
Industry,Medical Care Facilities
Country,USA
Market Cap,146.64
P/E,
Price,0.35
Change,0.00%
Volume,0}
{No.,226
Ticker,AGM
Company,Federal Agricultural Mortgage Corp
Sector,Financial
Industry,Credit Services
Country,USA
Market Cap,1862.92
P/E,9.97
Price,175.00
Change,0.00%
Volume,0}
{No.,227
Ticker,AGMB
Company,AgomAb Therapeutics NV ADR
Sector,Healthcare
Industry,Biotechnology
Country,Belgium
Market Cap,0.45
P/E,
Price,15.15
Change,0.00%
Volume,0}
{No.,228
Ticker,AGMH
Company,AGM Group Holdings Inc
Sector,Technology
Industry,Computer Hardware
Country,Hong Kong
Market Cap,2.86
P/E,0.03
Price,1.42
Change,0.00%
Volume,0}
{No.,229
Ticker,AGMI
Company,Themes Silver Miners ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,74.79
Change,0.00%
Volume,0}
{No.,230
Ticker,AGNC
Company,AGNC Investment Corp
Sector,Real Estate
Industry,REIT - Mortgage
Country,USA
Market Cap,12153.96
P/E,8.13
Price,11.33
Change,0.27%
Volume,1543}
{No.,231
Ticker,AGNG
Company,Global X Aging Population ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,38.30
Change,0.00%
Volume,0}
{No.,232
Ticker,AGO
Company,Assured Guaranty Ltd
Sector,Financial
Industry,Insurance - Specialty
Country,Bermuda
Market Cap,4040.54
P/E,10.89
Price,87.63
Change,0.00%
Volume,0}
{No.,233
Ticker,AGOX
Company,Adaptive Alpha Opportunities ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,29.53
Change,0.00%
Volume,0}
{No.,234
Ticker,AGPU
Company,Axe Compute Inc
Sector,Technology
Industry,Software - Infrastructure
Country,USA
Market Cap,7.87
P/E,
Price,2.32
Change,0.00%
Volume,0}
{No.,235
Ticker,AGQ
Company,ProShares Ultra Silver 2x Shares
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,128.15
Change,6.74%
Volume,137264}
{No.,236
Ticker,AGQI
Company,First Trust Active Global Quality Income ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,17.92
Change,0.00%
Volume,0}
{No.,237
Ticker,AGRH
Company,iShares Interest Rate Hedged U.S. Aggregate Bond ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,26.23
Change,0.00%
Volume,0}
{No.,238
Ticker,AGRO
Company,Adecoagro S.A
Sector,Consumer Defensive
Industry,Farm Products
Country,Luxembourg
Market Cap,1237.83
P/E,37.60
Price,8.75
Change,0.00%
Volume,0}
{No.,239
Ticker,AGRW
Company,Allspring LT Large Growth ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,28.61
Change,0.00%
Volume,0}
{No.,240
Ticker,AGRZ
Company,Agroz Inc
Sector,Consumer Defensive
Industry,Farm Products
Country,Malaysia
Market Cap,8.79
P/E,
Price,0.41
Change,0.00%
Volume,0}
{No.,241
Ticker,AGX
Company,Argan
Sector,Industrials
Industry,Engineering & Construction
Country,USA
Market Cap,5644.81
P/E,47.96
Price,406.88
Change,0.00%
Volume,0}
{No.,242
Ticker,AGYS
Company,Agilysys
Sector,Technology
Industry,Software - Application
Country,USA
Market Cap,2254.00
P/E,74.80
Price,80.19
Change,0.00%
Volume,0}
{No.,243
Ticker,AGZ
Company,iShares Agency Bond ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,110.70
Change,0.00%
Volume,0}
{No.,244
Ticker,AGZD
Company,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,22.53
Change,0.00%
Volume,0}
{No.,245
Ticker,AHCO
Company,AdaptHealth Corp
Sector,Healthcare
Industry,Medical Devices
Country,USA
Market Cap,1408.41
P/E,19.08
Price,10.40
Change,0.97%
Volume,4}
{No.,246
Ticker,AHG
Company,Akso Health Group ADR
Sector,Healthcare
Industry,Medical Distribution
Country,China
Market Cap,1118.79
P/E,
Price,1.31
Change,0.00%
Volume,0}
{No.,247
Ticker,AHH
Company,Armada Hoffler Properties Inc
Sector,Real Estate
Industry,REIT - Diversified
Country,USA
Market Cap,504.96
P/E,
Price,6.30
Change,-0.63%
Volume,190}
{No.,248
Ticker,AHL
Company,Aspen Insurance Holdings Ltd
Sector,Financial
Industry,Insurance - Property & Casualty
Country,Bermuda
Market Cap,3430.16
P/E,8.57
Price,37.35
Change,0.00%
Volume,0}
{No.,249
Ticker,AHLT
Company,American Beacon AHL Trend ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,28.20
Change,0.00%
Volume,0}
{No.,250
Ticker,AHMA
Company,Ambitions Enterprise Management Co LLC
Sector,Consumer Cyclical
Industry,Travel Services
Country,United Arab Emirates
Market Cap,222.14
P/E,697.22
Price,7.53
Change,0.00%
Volume,0}
{No.,251
Ticker,AHR
Company,American Healthcare REIT Inc
Sector,Real Estate
Industry,REIT - Healthcare Facilities
Country,USA
Market Cap,9938.31
P/E,376.42
Price,53.00
Change,0.00%
Volume,0}
{No.,252
Ticker,AHT
Company,Ashford Hospitality Trust Inc
Sector,Real Estate
Industry,REIT - Hotel & Motel
Country,USA
Market Cap,20.97
P/E,
Price,3.27
Change,0.00%
Volume,0}
{No.,253
Ticker,AHYB
Company,American Century Select High Yield ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,46.81
Change,0.00%
Volume,0}
{No.,254
Ticker,AI
Company,C3.ai Inc
Sector,Technology
Industry,Software - Infrastructure
Country,USA
Market Cap,1463.83
P/E,
Price,10.40
Change,0.00%
Volume,0}
{No.,255
Ticker,AIA
Company,iShares Asia 50 ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,112.29
Change,0.00%
Volume,0}
{No.,256
Ticker,AIBD
Company,Direxion Daily AI and Big Data Bear 2X Shares
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,9.16
Change,0.00%
Volume,0}
{No.,257
Ticker,AIBU
Company,Direxion Daily AI and Big Data Bull 2X Shares
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,40.84
Change,0.00%
Volume,0}
{No.,258
Ticker,AIEQ
Company,Amplify AI Powered Equity ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,45.49
Change,0.00%
Volume,0}
{No.,259
Ticker,AIFD
